vendor_name,service_month,consultant_count,hours_billed,amount_billed,amount_paid,accrual_amount,exception_count,accrual_pct
Agreeya Solutions,2022-08-31,9,184,1599199.35,0,1599199.35,7,100
Infosys,2016-02-29,91,10639.608,771844.74,0,771844.74,86,100
Infosys,2015-12-31,106,10001.5,718770.66,0,718770.66,90,100
Infosys,2015-11-30,120,9847.54,662697.68,0,662697.68,104,100
Infosys,2016-04-30,64,8150,607548,0,607548,59,100
Infosys,2016-01-31,65,7672.763,529445.38,0,529445.38,63,100
Infosys,2016-05-31,42,6383,482394,0,482394,41,100
Infosys,2016-08-31,43,6594,474999,0,474999,41,100
Infosys,2016-03-31,45,6479.504,470357.17,0,470357.17,43,100
Infosys,2016-06-30,44,6283,456522,0,456522,42,100
Infosys,2016-09-30,39,6136,447469,0,447469,38,100
Infosys,2015-09-30,164,5622,440736,0,440736,163,100
Infosys,2015-10-31,168,6330,432665,0,432665,157,100
Infosys,2016-07-31,56,5797,423962.07,0,423962.07,46,100
Infosys,2015-08-31,146,4712,373058,0,373058,146,100
Pontoon Solutions Inc.,2017-02-28,30,4360,339597.44,0,339597.44,30,100
Pontoon Solutions Inc.,2017-03-31,27,4291,336042.13,0,336042.13,25,100
Pontoon Solutions Inc.,2017-01-31,29,4233,308131.6,0,308131.6,29,100
Pontoon Solutions Inc.,2016-11-30,28,4281,304980.9,0,304980.9,28,100
Pontoon Solutions Inc.,2018-06-30,133,4179,302357.05,0,302357.05,125,100
Pontoon Solutions Inc.,2018-10-31,119,4088,297694.85,0,297694.85,117,100
Pontoon Solutions Inc.,2016-12-31,32,4146,294107.8,0,294107.8,30,100
Pontoon Solutions Inc.,2018-07-31,123,3842,277687.7,0,277687.7,120,100
Pontoon Solutions Inc.,2017-06-30,23,3652,261660,0,261660,23,100
Pontoon Solutions Inc.,2017-05-31,20,3481,261490.46,0,261490.46,20,100
Pontoon Solutions Inc.,2017-08-31,104,3441,254509.5,0,254509.5,97,100
Pontoon Solutions Inc.,2018-03-31,111,3672,254051.64,0,254051.64,106,100
Infosys,2015-07-31,120,3373,249861,0,249861,105,100
Pontoon Solutions Inc.,2018-09-01,118,3485,245438.06,0,245438.06,100,100
Pontoon Solutions Inc.,2017-10-31,102,3377,245300.6,0,245300.6,102,100
Pontoon Solutions Inc.,2018-09-30,100,3306.5,241736.11,0,241736.11,94,100
Pontoon Solutions Inc.,2017-12-31,112,3365,241033.71,0,241033.71,111,100
Pontoon Solutions Inc.,2017-04-30,24,3140.5,239351.77,0,239351.77,24,100
Pontoon Solutions Inc.,2017-11-30,104,3167,230683.45,0,230683.45,102,100
Pontoon Solutions Inc.,2019-02-02,89,3046,227503.08,0,227503.08,89,100
Pontoon Solutions Inc.,2017-09-30,103,3124,226727.87,0,226727.87,102,100
Pontoon Solutions Inc.,2017-07-31,24,3028,222917.66,0,222917.66,24,100
Pontoon Solutions Inc.,2018-01-31,105,3032,213281.79,0,213281.79,91,100
Infosys,2016-10-31,42,3134.504,202480.54,0,202480.54,28,100
Pontoon Solutions Inc.,2018-05-31,93,2671,197208.53,0,197208.53,85,100
Pontoon Solutions Inc.,2019-01-05,85,2584,192624.88,0,192624.88,80,100
Pontoon Solutions Inc.,2018-11-30,78,2473,185647.28,0,185647.28,77,100
Pontoon Solutions Inc.,2018-02-28,78,2234,162899.03,0,162899.03,73,100
Pontoon Solutions Inc.,2021-09-04,59,1972,162269.18,0,162269.18,59,100
Pontoon Solutions Inc.,2021-10-02,57,1858,157245,0,157245,57,100
Pontoon Solutions Inc.,2021-07-31,56,1856,155349.12,0,155349.12,55,100
Pontoon Solutions Inc.,2018-04-30,68,2104,154790.4,0,154790.4,62,100
Pontoon Solutions Inc.,2021-04-30,52,1709,138611.94,0,138611.94,50,100
"iTech US, Inc",2024-07-31,59,2088,136795.68,0,136795.68,58,100
Pontoon Solutions Inc.,2019-02-23,62,1837,134256.08,0,134256.08,62,100
Pontoon Solutions Inc.,2021-05-31,42,1600,131257.28,0,131257.28,42,100
Inter-American Development Bank,2016-02-29,17,337.75,127360,0,127360,17,100
Pontoon Solutions Inc.,2019-11-30,63,1683,126419.71,0,126419.71,60,100
Infosys,2015-03-31,56,1912,126336,0,126336,56,100
Infosys,2015-06-30,58,1764,123414,0,123414,57,100
Pontoon Solutions Inc.,2021-06-30,42,1456,120035.11,0,120035.11,42,100
Pontoon Solutions Inc.,2020-01-31,56,1474,114793.79,0,114793.79,49,100
Pontoon Solutions Inc.,2019-10-31,47,1524,109227.85,0,109227.85,44,100
Infosys,2015-04-30,51,1566,105358,0,105358,47,100
Pontoon Solutions Inc.,2016-10-31,14,1217,101756.34,0,101756.34,14,100
"iTech US, Inc",2014-10-31,42,1159,101303.6,0,101303.6,41,100
"iTech US, Inc.",2015-07-31,43,1552,96256,0,96256,43,100
Pontoon Solutions Inc.,2020-05-02,43,1238,95857.02,0,95857.02,43,100
Pontoon Solutions Inc.,2020-02-29,36,1220,95584.66,0,95584.66,36,100
Pontoon Solutions Inc.,2020-07-04,40,1247,95286.4,0,95286.4,40,100
Pontoon Solutions Inc.,2019-04-20,33,1264,93895.76,0,93895.76,33,100
Pontoon Solutions Inc.,2019-08-31,33,1256,90722.93,0,90722.93,32,100
Infosys Limited,2020-10-31,3,694.5,90639.75,0,90639.75,3,100
"iTech US, Inc",2022-05-31,54,1441,89974.08,0,89974.08,50,100
Infosys Limited,2020-09-30,2,683.51,89760.83,0,89760.83,2,100
Infosys Limited,2020-08-31,2,673.5,88166.5,0,88166.5,2,100
"iTech US, Inc",2018-06-30,51,1656,88151.48,0,88151.48,50,100
Ticket Spicket,2022-10-31,6,168,87600,0,87600,5,100
Pontoon Solutions Inc.,2020-05-31,52,1166,87473.04,0,87473.04,45,100
Pontoon Solutions Inc.,2021-04-03,30,1088,87015.38,0,87015.38,30,100
Infosys Limited,2020-06-30,3,656,86456,0,86456,3,100
Pontoon Solutions Inc.,2020-04-04,41,1134,86417.67,0,86417.67,40,100
Pontoon Solutions Inc.,2019-12-31,36,1088,85578.32,0,85578.32,33,100
"iTech US, Inc.",2015-12-31,41,1300,85496,0,85496,39,100
"iTech US, Inc",2018-05-05,48,1520,84854.4,0,84854.4,45,100
"iTech US, Inc",2018-05-31,53,1471,84124.8,0,84124.8,48,100
"iTech US, Inc",2014-09-30,41,1171,80239.5,0,80239.5,41,100
"iTech US, Inc",2014-11-30,33,1055,79254.2,0,79254.2,33,100
"iTech US, Inc.",2015-08-31,37,1240,79040,0,79040,37,100
Pontoon Solutions Inc.,2021-01-31,38,1060,79029.16,0,79029.16,33,100
"iTech US, Inc",2022-08-31,61,1278,77837.23,0,77837.23,48,100
Pontoon Solutions Inc.,2020-07-31,33,1073,77193.43,0,77193.43,33,100
"iTech US, Inc",2022-06-30,37,1244,76380.32,0,76380.32,35,100
Infosys Limited,2020-07-31,2,563,75111.5,0,75111.5,2,100
"iTech US, Inc",2018-08-31,45,1352,74617.6,0,74617.6,40,100
"iTech US, Inc.",2015-10-31,34,1152,74056,0,74056,33,100
"iTech US, Inc",2014-12-31,31,884,73682.8,0,73682.8,31,100
"iTech US, Inc",2024-06-30,36,1160,72537.6,0,72537.6,30,100
Diversant LLC,2015-07-25,4,90,72000,0,72000,4,100
IDC Technologies,2018-08-31,35,1096,71821,0,71821,33,100
Infosys Limited,2020-11-30,3,537.504,71166.88,0,71166.88,3,100
"iTech US, Inc",2018-07-31,46,1264,70790.4,0,70790.4,41,100
"iTech US, Inc.",2015-11-30,35,1088,70304,0,70304,35,100
"iTech US, Inc",2022-07-31,36,1140,69682.72,0,69682.72,35,100
Infosys,2015-05-31,47,864,69676,0,69676,34,100
Infosys,2015-01-31,34,1078,69014,0,69014,33,100
"iTech US, Inc",2018-09-30,68,1334,68862.08,0,68862.08,49,100
"iTech US, Inc",2017-01-31,40,1184,67894.16,0,67894.16,36,100
Pontoon Solutions Inc.,2019-03-23,25,943,66657.64,0,66657.64,25,100
Infosys,2015-02-28,26,988,65796,0,65796,26,100
Pontoon Solutions Inc.,2019-03-02,26,880,65691.36,0,65691.36,26,100
"iTech US, Inc.",2015-09-30,30,1016,64920,0,64920,30,100
Infosys Limited,2021-01-31,3,484,64870,0,64870,3,100
Pontoon Solutions Inc.,2019-10-05,31,932,64030.25,0,64030.25,30,100
Diversant LLC,2016-03-05,9,80,64000,0,64000,6,100
"iTech US, Inc",2022-09-30,32,1036,63916.42,0,63916.42,32,100
Pontoon Solutions Inc.,2020-10-03,29,906,63842.29,0,63842.29,29,100
"iTech US, Inc",2018-10-31,34,1208,63536,0,63536,34,100
Pontoon Solutions Inc.,2022-03-31,20,696,63080.64,0,63080.64,20,100
Infosys Limited,2019-06-30,4,507.91,63033.61,0,63033.61,3,100
CMK Resources Inc.,2024-07-27,14,-160,62400,0,62400,0,100
Pontoon Solutions Inc.,2020-08-31,28,889,62263.32,0,62263.32,28,100
Infosys Limited,2020-12-31,3,457,62037.5,0,62037.5,3,100
"iTech US, Inc",2025-03-31,48,978,61353,0,61353,36,100
"iTech US, Inc",2015-03-31,45,739,61280,0,61280,35,100
"iTech US, Inc",2022-04-30,36,1002,61029.44,0,61029.44,34,100
"iTech US, Inc",2015-01-31,26,738,60992.8,0,60992.8,24,100
"iTech US, Inc",2015-04-30,24,727.5,60458.8,0,60458.8,24,100
"iTech US, Inc.",2016-04-30,40,943,60260,0,60260,33,100
"iTech US, Inc",2021-03-31,30,1104,59422.8,0,59422.8,30,100
Pontoon Solutions Inc.,2019-03-16,23,784,59391.92,0,59391.92,23,100
"iTech US, Inc.",2016-02-29,40,920,59304,0,59304,35,100
"iTech US, Inc.",2016-06-30,29,960,59120,0,59120,29,100
Pontoon Solutions Inc.,2020-10-31,31,857,58708.08,0,58708.08,29,100
"iTech US, Inc",2017-02-28,34,1030,58207.38,0,58207.38,33,100
Pontoon Solutions Inc.,2018-12-01,25,824,58039.52,0,58039.52,25,100
Infosys,2014-12-31,28,866,58026,0,58026,27,100
Infosys Limited,2023-01-31,4,304,57217.89,0,57217.89,2,100
"iTech US, Inc",2022-11-30,31,960,56872,0,56872,31,100
"iTech US, Inc.",2016-03-31,40,863,55948,0,55948,33,100
Resource Research Company (RSC Solutions)),2015-03-31,45,1584,55440,0,55440,45,100
Resource Research Company (RSC Solutions)),2015-06-30,46,1582,55370,0,55370,46,100
"iTech US, Inc",2016-08-31,28,928,55298.86,0,55298.86,27,100
"iTech US, Inc",2016-12-31,33,966,54116.22,0,54116.22,31,100
Resource Research Company (RSC Solutions)),2015-07-31,64,1544,54040,0,54040,54,100
"iTech US, Inc.",2016-09-30,25,816,53960,0,53960,24,100
Pontoon Solutions Inc.,2021-01-02,23,744,53629.52,0,53629.52,22,100
"iTech US, Inc",2015-02-28,20,645,53565.4,0,53565.4,20,100
AMA Global Technology Inc.,2025-05-31,25,840,53488,0,53488,25,100
Pontoon Solutions Inc.,2019-03-31,18,720,53194.4,0,53194.4,18,100
Resource Research Company (RSC Solutions)),2015-04-30,45,1502,52570,0,52570,45,100
"iTech US, Inc.",2016-08-31,32,804,52520,0,52520,26,100
Nityo Inc.,2018-05-31,47,640,52192,0,52192,33,100
